Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
PG32UCDM,Device,Render,NVIDIA High Definition Audio,,,,Active,No,0.00 dB,100.0%,-96.00 dB,0.00 dB,1.50 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{0.0.0.00000000}.{61802867-dad9-4289-9a7a-45772656f989},NVIDIA High Definition Audio\Device\PG32UCDM\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{61802867-dad9-4289-9a7a-45772656f989},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Qt6,Application,Render,Logitech PRO X Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{b2520a18-9236-4169-a438-af902a1d0f4d}|\Device\HarddiskVolume3\Program Files\Corsair\Corsair iCUE5 Software\QtWebEngineProcess.exe%b{00000000-0000-0000-0000-000000000000}|3%b34556,Logitech PRO X Gaming Headset\Application\Qt6,C:\Program Files\Corsair\Corsair iCUE5 Software\QtWebEngineProcess.exe,34556,,,,
Spotify,Application,Render,SRS-XB100,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0eb8e066-0c33-456e-8e5a-b2ba44490f7a}|\Device\HarddiskVolume3\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.288.483.0_x64__zpdnekdrzrea0\Spotify.exe%b{00000000-0000-0000-0000-000000000000}|3%b1792,SRS-XB100\Application\Spotify,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.288.483.0_x64__zpdnekdrzrea0\Spotify.exe,1792,Spotify Premium,,,
Spotify,Application,Render,Logitech PRO X Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{b2520a18-9236-4169-a438-af902a1d0f4d}|\Device\HarddiskVolume3\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.288.483.0_x64__zpdnekdrzrea0\Spotify.exe%b{00000000-0000-0000-0000-000000000000}|3%b1792,Logitech PRO X Gaming Headset\Application\Spotify,C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.288.483.0_x64__zpdnekdrzrea0\Spotify.exe,1792,Spotify Premium,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{3cb85190-d4e7-4b2e-8209-b2e8f9db6e2c}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,Logitech PRO X Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{b2520a18-9236-4169-a438-af902a1d0f4d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Logitech PRO X Gaming Headset\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{fa62b21d-0c6a-45d7-a91a-b0aff334e3fd}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{0e9a24e8-3c82-4eb0-ae13-c7a26e7bc07e}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{61802867-dad9-4289-9a7a-45772656f989}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,,
System Sounds,Application,Render,AMD High Definition Audio Device,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{3e863ab0-95ce-4951-b82e-b172cbb885e5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,AMD High Definition Audio Device\Application\System Sounds,,,,,,
System Sounds,Application,Render,Zone Vibe 100,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c6df8cf2-79a0-4399-b91c-a39216c24c3f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Zone Vibe 100\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{2c802439-f02f-4202-8378-da3f16ca57a0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Zone Vibe 100,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{326e20b5-4322-4c3a-8307-6a80238a25c1}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Zone Vibe 100\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Logitech PRO X Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{5155a3d6-f479-4a26-acbc-158872547932}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Logitech PRO X Gaming Headset\Application\System Sounds,,,,,,
System Sounds,Application,Capture,OD-WB01,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{b5540fa1-c1fa-4ef7-aab7-9401b6e31ffa}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,OD-WB01\Application\System Sounds,,,,,,
System Sounds,Application,Capture,Realtek(R) Audio,,,,Inactive,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{a244a850-d449-4642-8846-5fb78d39854f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,Realtek(R) Audio\Application\System Sounds,,,,,,
System Sounds,Application,Capture,SRS-XB100,,,,Inactive,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{fd73ebd7-98c9-4caf-a46a-bcf1f00ce7a9}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|3%b#,SRS-XB100\Application\System Sounds,,,,,,
Volume,Subunit,Render,SRS-XB100,,,,,No,,71.1%,-63.50 dB,0.00 dB,0.50 dB,2,"-2.97 dB, -2.97 dB","71.1%, 71.1%",{2}.\\?\bthenum#{0000110b-0000-1000-8000-00805f9b34fb}_vid&000103e0_pid&2835#b&18391f18&0&84d352af1604_c00000000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\src/00020001,SRS-XB100\Subunit\Volume,,,,,,
Volume,Subunit,Render,Logitech PRO X Gaming Headset,,,,,No,,20.2%,-50.00 dB,5.00 dB,1.00 dB,1,-8.83 dB,20.2%,{2}.\\?\usb#vid_046d&pid_0aaa&mi_00#a&26545131&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020007,Logitech PRO X Gaming Headset\Subunit\Volume,,,,,,
